年度,問題番号,カテゴリ,出題法令,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解
R03,1,権利関係,民法（私力の行使・自力救済）,"次の1から4までの記述のうち、民法の規定、判例及び下記判決文によれば、正しいものはどれか。
（判決文）
　私力の行使は、原則として法の禁止するところであるが、法律に定める手続によつたのでは、権利に対する違法な侵害に対抗して現状を維持することが不可能又は著しく困難であると認められる緊急やむを得ない特別の事情が存する場合においてのみ、その必要の限度を超えない範囲内で、例外的に許されるものと解することを妨げない。",権利に対する違法な侵害に対抗して法律に定める手続によらずに自力救済することは、その必要の限度を超えない範囲内であれば、事情のいかんにかかわらず許される。,建物賃貸借契約終了後に当該建物内に家財などの残置物がある場合には、賃貸人の権利に対する違法な侵害であり、賃貸人は賃借人の同意の有無にかかわらず、原則として裁判を行わずに当該残置物を建物内から撤去することができる。,建物賃貸借契約の賃借人が賃料を1年分以上滞納した場合には、賃貸人の権利を著しく侵害するため、原則として裁判を行わずに、賃貸人は賃借人の同意なく当該建物の鍵とシリンダーを交換して建物内に入れないようにすることができる。,裁判を行っていては権利に対する違法な侵害に対抗して現状を維持することが不可能又は著しく困難であると認められる緊急やむを得ない特別の事情が存する場合には、その必要の限度を超えない範囲内で例外的に私力の行使が許される。,4
R03,2,権利関係,民法（相隣関係）,相隣関係に関する次の記述のうち、民法の規定によれば、誤っているものはどれか。,土地の所有者は、隣地の所有者と共同の費用で、境界標を設けることができる。,隣接する土地の境界線上に設けた障壁は、相隣者の共有に属するものと推定される。,高地の所有者は、その高地が浸水した場合にこれを乾かすためであっても、公の水流又は下水道に至るまで、低地に水を通過させることはできない。,土地の所有者が直接に雨水を隣地に注ぐ構造の屋根を設けた場合、隣地所有者は、その所有権に基づいて妨害排除又は予防の請求をすることができる。,3
R03,3,権利関係,民法（成年後見）,成年後見人が、成年被後見人を代理して行う次に掲げる法律行為のうち、民法の規定によれば、家庭裁判所の許可を得なければ代理して行うことができないものはどれか。,成年被後見人が所有する乗用車の第三者への売却,成年被後見人が所有する成年被後見人の居住の用に供する建物への第三者の抵当権の設定,成年被後見人が所有するオフィスビルへの第三者の抵当権の設定,成年被後見人が所有する倉庫についての第三者との賃貸借契約の解除,2
R03,4,権利関係,民法（売買契約）,いずれも宅地建物取引業者ではない売主Aと買主Bとの間で令和3年7月1日に締結した売買契約に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,BがAに対して手付を交付した場合、Aは、目的物を引き渡すまではいつでも、手付の倍額を現実に提供して売買契約を解除することができる。,売買契約の締結と同時に、Aが目的物を買い戻すことができる旨の特約をする場合、買戻しについての期間の合意をしなければ、買戻しの特約自体が無効となる。,Bが購入した目的物が第三者Cの所有物であり、Aが売買契約締結時点でそのことを知らなかった場合には、Aは損害を賠償せずに売買契約を解除することができる。,目的物の引渡しの時点で目的物が品質に関して契約の内容に適合しないことをAが知っていた場合には、当該不適合に関する請求権が消滅時効にかかっていない限り、BはAの担保責任を追及することができる。,4
R03,5,権利関係,民法（代理）,AがBの代理人として行った行為に関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。なお、いずれの行為もBの追認はないものとし、令和3年7月1日以降になされたものとする。,AがBの代理人として第三者の利益を図る目的で代理権の範囲内の行為をした場合、相手方Cがその目的を知っていたとしても、AC間の法律行為の効果はBに帰属する。,BがAに代理権を与えていないにもかかわらず代理権を与えた旨をCに表示し、AがCに代理権がないことを知っていたとしても、Bはその責任を負わなければならない。,AがBから何ら代理権を与えられていないにもかかわらずBの代理人と詐称してCとの間で法律行為をし、CがAにBの代理権があると信じた場合であっても、原則としてその法律行為の効果はBに帰属しない。,BがAに与えた代理権が消滅した後にAが行った代理権の範囲内の行為について、相手方Cが過失によって代理権消滅の事実を知らなかった場合でも、Bはその責任を負わなければならない。,3
R03,6,権利関係,民法（物権変動の対抗要件）,不動産に関する物権変動の対抗要件に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。,不動産の所有権がAからB、BからC、CからDと転々譲渡された場合、Aは、Dと対抗関係にある第三者に該当する。,土地の賃借人として当該土地上に登記ある建物を所有する者は、当該土地の所有権を新たに取得した者と対抗関係にある第三者に該当する。,第三者のなした登記後に時効が完成して不動産の所有権を取得した者は、当該第三者に対して、登記を備えなくても、時効取得をもって対抗することができる。,共同相続財産につき、相続人の一人から相続財産に属する不動産につき所有権の全部の譲渡を受けて移転登記を備えた第三者に対して、他の共同相続人は、自己の持分を登記なくして対抗することができる。,1
R03,7,権利関係,民法（遺言）,令和3年7月1日になされた遺言に関する次の記述のうち、民法の規定によれば、誤っているものはどれか。,自筆証書によって遺言をする場合、遺言者は、その全文、日付及び氏名を自書して押印しなければならないが、これに添付する相続財産の目録については、遺言者が毎葉に署名押印すれば、自書でないものも認められる。,公正証書遺言の作成には、証人2人以上の立会いが必要であるが、推定相続人は、未成年者でなくとも、証人となることができない。,船舶が遭難した場合、当該船舶中にいて死亡の危機に迫った者は、証人2人以上の立会いがあれば、口頭で遺言をすることができる。,遺贈義務者が、遺贈の義務を履行するため、受遺者に対し、相当の期間を定めて遺贈の承認をすべき旨の催告をした場合、受遺者がその期間内に意思表示をしないときは、遺贈を放棄したものとみなされる。,4
R03,8,権利関係,民法（契約の成立）,"AはBに対して、Aが所有する甲土地を1,000万円で売却したい旨の申込みを郵便で令和3年7月1日に発信した（以下この問において「本件申込み」という。）が、本件申込みがBに到達する前にAが死亡した場合における次の記述のうち、民法の規定によれば、正しいものはどれか。",Bが承諾の通知を発する前に、BがAの死亡を知ったとしても、本件申込みは効力を失わない。,Aが、本件申込みにおいて、自己が死亡した場合には申込みの効力を失う旨の意思表示をしていたときには、BがAの死亡を知らないとしても本件申込みは効力を失う。,本件申込みが効力を失わない場合、本件申込みに承諾をなすべき期間及び撤回をする権利についての記載がなかったときは、Aの相続人は、本件申込みをいつでも撤回することができる。,本件申込みが効力を失わない場合、Bが承諾の意思表示を発信した時点で甲土地の売買契約が成立する。,2
R03,9,権利関係,民法（売買・賃貸借の比較）,AがBに対してA所有の甲建物を令和3年7月1日に①売却した場合と②賃貸した場合についての次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。,①と②の契約が解除された場合、①ではBは甲建物を使用収益した利益をAに償還する必要があるのに対し、②では将来に向かって解除の効力が生じるのでAは解除までの期間の賃料をBに返還する必要はない。,①ではBはAの承諾を得ずにCに甲建物を賃貸することができ、②ではBはAの承諾を得なければ甲建物をCに転貸することはできない。,甲建物をDが不法占拠している場合、①ではBは甲建物の所有権移転登記を備えていなければ所有権をDに対抗できず、②ではBは甲建物につき賃借権の登記を備えていれば賃借権をDに対抗することができる。,①と②の契約締結後、甲建物の引渡し前に、甲建物がEの放火で全焼した場合、①ではBはAに対する売買代金の支払を拒むことができ、②ではBとAとの間の賃貸借契約は終了する。,3
R03,10,権利関係,民法・借地借家法（抵当権）,Aは、Bからの借入金の担保として、A所有の甲建物に第一順位の抵当権（以下この問において「本件抵当権」という。）を設定し、その登記を行った。AC間にCを賃借人とする甲建物の一時使用目的ではない賃貸借契約がある場合に関する次の記述のうち、民法及び借地借家法の規定並びに判例によれば、正しいものはどれか。,本件抵当権設定登記後にAC間の賃貸借契約が締結され、AのBに対する借入金の返済が債務不履行となった場合、Bは抵当権に基づき、AがCに対して有している賃料債権を差し押さえることができる。,Cが本件抵当権設定登記より前に賃貸借契約に基づき甲建物の引渡しを受けていたとしても、AC間の賃貸借契約の期間を定めていない場合には、Cの賃借権は甲建物の競売による買受人に対抗することができない。,本件抵当権設定登記後にAC間で賃貸借契約を締結し、その後抵当権に基づく競売手続による買受けがなされた場合、買受けから賃貸借契約の期間満了までの期間が1年であったときは、Cは甲建物の競売における買受人に対し、期間満了までは甲建物を引き渡す必要はない。,Cが本件抵当権設定登記より前に賃貸借契約に基づき甲建物の引渡しを受けていたとしても、Cは、甲建物の競売による買受人に対し、買受人の買受けの時から1年を経過した時点で甲建物を買受人に引き渡さなければならない。,1
